Gene,SRR6408410,SRR6408239,SRR6408314
gene-OR4F5,0.0,0.0,0.0
gene-LOC112268260,0.5,0.0,1.0
gene-OR4F29,0.0,0.0,0.0
gene-LOC105378947,0.0,3.0,0.0
gene-OR4F16,1.0,0.0,0.0
gene-SAMD11,31.0,109.0,60.0
gene-NOC2L,201.0,869.0,219.0
gene-KLHL17,0.0,9.333333333333334,0.0
gene-PLEKHN1,0.0,0.0,0.0
gene-PERM1,0.0,0.0,0.0
gene-HES4,1.0,111.0,4.0
gene-ISG15,498.0,1824.0,530.0
gene-AGRN,0.0,41.0,6.0
gene-RNF223,0.0,0.0,0.0
gene-C1orf159,194.0,1.0,1.0
gene-TTLL10,0.6666666666666666,1.5833333333333333,0.0
gene-TNFRSF18,0.0,0.0,0.0
gene-TNFRSF4,0.0,0.0,0.0
gene-SDF4,638.0,390.75,221.75
gene-B3GALT6,449.0,5.0,237.0
gene-C1QTNF12,0.0,0.0,0.0
gene-UBE2J2,951.7857142857143,291.7857142857143,340.07142857142856
gene-SCNN1D,0.0,0.0,0.0
gene-ACAP3,0.0,29.0,71.0
gene-PUSL1,586.0,8.25,358.25
gene-INTS11,129.0,481.0,580.7
gene-CPTP,473.25,0.0,157.75
gene-TAS1R3,7.0,1.0,0.0
gene-DVL1,120.0,167.0,0.0
gene-MXRA8,0.0,0.0,0.0
gene-AURKAIP1,4701.0,2834.0,1330.4
gene-CCNL2,275.8333333333333,149.66666666666666,14.75
gene-MRPL20,3047.0,350.0,1061.0
gene-ANKRD65,0.0,0.0,0.0
gene-TMEM88B,0.0,0.0,0.0
gene-LOC107985729,0.0,0.0,0.0
gene-VWA1,0.0,0.0,0.0
gene-ATAD3C,26.0,6.0,6.0
gene-ATAD3B,157.8,87.4,48.2
gene-ATAD3A,185.5,60.75,37.75
gene-TMEM240,0.0,0.0,0.0
gene-SSU72,3904.0,1315.0,3148.0
gene-FNDC10,179.0,0.0,42.0
gene-MIB2,65.71875,0.0,30.375
gene-MMP23B,0.0,0.0,0.0
gene-CDK11B,274.3,89.85,51.7
gene-SLC35E2B,54.8,14.4,81.2
gene-CDK11A,120.0,69.0,64.0
gene-SLC35E2A,80.5,43.5,48.0
gene-NADK,812.4666666666667,39.46666666666667,82.66666666666667
gene-GNB1,4709.428571428572,574.1428571428571,675.8571428571429
gene-CALML6,0.0,0.0,0.0
gene-TMEM52,0.0,0.0,0.0
gene-CFAP74,2.0,0.0,2.0
