mRNA,SRR6408214,SRR6408215,SRR6408216
mRNA1,0,0,0
mRNA2,2,5,0
mRNA3,0,0,0
mRNA4,0,0,0
mRNA5,0,0,1
mRNA6,0,0,0
mRNA7,0,0,0
mRNA8,0,0,0
mRNA9,0,0,0
mRNA10,0,0,0
mRNA11,0,0,0
mRNA12,0,0,0
mRNA13,0,0,0
mRNA14,0,250,83
mRNA15,0,250,83
mRNA16,0,250,83
mRNA17,0,1686,774
mRNA18,0,2,0
mRNA19,0,0,0
mRNA20,0,2,0
mRNA21,0,0,0
mRNA22,0,0,0
mRNA23,0,0,0
mRNA24,0,0,0
mRNA25,0,0,0
mRNA26,0,0,0
mRNA27,0,0,0
mRNA28,0,0,0
mRNA29,0,0,0
mRNA30,0,0,0
mRNA31,0,0,0
mRNA32,0,0,0
mRNA33,0,0,0
mRNA34,0,0,0
mRNA35,0,0,0
mRNA36,23,40,21
mRNA37,21,40,16
mRNA38,21,40,16
mRNA39,180,606,3193
mRNA40,26,0,23
mRNA41,26,0,23
mRNA42,26,0,23
mRNA43,26,0,23
mRNA44,4,0,21
mRNA45,0,0,0
mRNA46,2,681,322
mRNA47,2,681,322
mRNA48,2,681,322
mRNA49,0,0,0
mRNA50,0,0,0
mRNA51,0,0,0
mRNA52,0,0,0
mRNA53,0,0,0
mRNA54,0,0,0
mRNA55,0,0,0
mRNA56,0,0,0
mRNA57,0,0,0
mRNA58,0,0,0
mRNA59,0,0,0
mRNA60,0,0,0
mRNA61,0,0,0
mRNA62,0,0,0
mRNA63,0,0,0
mRNA64,0,0,0
mRNA65,0,0,0
mRNA66,0,0,0
mRNA67,0,0,0
mRNA68,0,0,0
mRNA69,0,0,0
mRNA70,0,0,0
mRNA71,0,0,0
mRNA72,93,3,836
mRNA73,93,3,836
mRNA74,93,3,836
mRNA75,53,0,434
mRNA76,40,239,464
mRNA77,0,0,0
mRNA78,0,0,0
mRNA79,0,0,0
mRNA80,0,0,0
mRNA81,0,0,0
mRNA82,175,0,839
mRNA83,175,0,839
mRNA84,175,0,839
mRNA85,175,0,839
mRNA86,175,0,839
mRNA87,175,0,839
mRNA88,175,0,839
mRNA89,175,0,839
mRNA90,175,0,839
mRNA91,167,0,775
mRNA92,167,0,775
mRNA93,154,0,736
mRNA94,154,0,736
mRNA95,154,0,736
mRNA96,49,0,0
mRNA97,80,0,8
mRNA98,80,0,8
mRNA99,80,0,8
mRNA100,80,0,8
mRNA101,80,0,8
mRNA102,80,0,8
mRNA103,80,0,8
mRNA104,80,0,8
mRNA105,80,0,8
mRNA106,42,0,0
mRNA107,88,76,3
mRNA108,88,76,3
mRNA109,88,76,3
mRNA110,118,799,167
mRNA111,118,799,167
mRNA112,118,799,167
mRNA113,118,799,167
mRNA114,118,799,165
mRNA115,117,799,167
mRNA116,117,799,167
mRNA117,117,799,167
mRNA118,117,799,167
mRNA119,117,799,167
mRNA120,22,0,185
